,realtime_start,realtime_end,date,value,delta column,,
0,1/11/22,1/11/22,1/1/82,5.5055003,0,,
1,1/11/22,1/11/22,2/1/82,5.3930441,0.1124562,,
2,1/11/22,1/11/22,3/1/82,5.0208494,0.3721947,,
3,1/11/22,1/11/22,4/1/82,5.0834553,0.0626059,,
4,1/11/22,1/11/22,5/1/82,5.0989671,0.0155118,,
5,1/11/22,1/11/22,6/1/82,5.0177154,0.0812517,,
6,1/11/22,1/11/22,7/1/82,5.2491487,0.2314333,,
7,1/11/22,1/11/22,8/1/82,5.079701,0.1694477,,
8,1/11/22,1/11/22,9/1/82,5.1319412,0.0522402,,
9,1/11/22,1/11/22,10/1/82,4.8481475,0.2837937,,
10,1/11/22,1/11/22,11/1/82,4.3343021,0.5138454,,
11,1/11/22,1/11/22,12/1/82,4.4637009,0.1293988,,
12,1/11/22,1/11/22,1/1/83,4.3293305,0.1343704,,
13,1/11/22,1/11/22,2/1/83,4.4638066,0.1344761,,
14,1/11/22,1/11/22,3/1/83,4.2740217,0.1897849,,
15,1/11/22,1/11/22,4/1/83,4.3548918,0.0808701,,
16,1/11/22,1/11/22,5/1/83,4.1852563,0.1696355,,
17,1/11/22,1/11/22,6/1/83,4.3619048,0.1766485,,
18,1/11/22,1/11/22,7/1/83,4.4527867,0.0908819,,
19,1/11/22,1/11/22,8/1/83,4.5600865,0.1072998,,
20,1/11/22,1/11/22,9/1/83,4.6437242,0.0836377,,
21,1/11/22,1/11/22,10/1/83,4.5333088,0.1104154,,
22,1/11/22,1/11/22,11/1/83,4.6111113,0.0778025,,
23,1/11/22,1/11/22,12/1/83,4.6290545,0.0179432,,
24,1/11/22,1/11/22,1/1/84,4.5983699,0.0306846,,
25,1/11/22,1/11/22,2/1/84,4.5857659,0.012604,,
26,1/11/22,1/11/22,3/1/84,4.7111995,0.1254336,,
27,1/11/22,1/11/22,4/1/84,4.8006745,0.089475,,
28,1/11/22,1/11/22,5/1/84,4.9107957,0.1101212,,
29,1/11/22,1/11/22,6/1/84,5.1489609,0.2381652,,
30,1/11/22,1/11/22,7/1/84,5.1376495,0.0113114,,
