,realtime_start,realtime_end,date,value
0,2022-01-11,2022-01-11,1982-01-01,5.5055003
1,2022-01-11,2022-01-11,1982-02-01,5.3930441
2,2022-01-11,2022-01-11,1982-03-01,5.0208494
3,2022-01-11,2022-01-11,1982-04-01,5.0834553
4,2022-01-11,2022-01-11,1982-05-01,5.0989671
5,2022-01-11,2022-01-11,1982-06-01,5.0177154
6,2022-01-11,2022-01-11,1982-07-01,5.2491487
7,2022-01-11,2022-01-11,1982-08-01,5.079701
8,2022-01-11,2022-01-11,1982-09-01,5.1319412
9,2022-01-11,2022-01-11,1982-10-01,4.8481475
10,2022-01-11,2022-01-11,1982-11-01,4.3343021
11,2022-01-11,2022-01-11,1982-12-01,4.4637009
12,2022-01-11,2022-01-11,1983-01-01,4.3293305
13,2022-01-11,2022-01-11,1983-02-01,4.4638066
14,2022-01-11,2022-01-11,1983-03-01,4.2740217
15,2022-01-11,2022-01-11,1983-04-01,4.3548918
16,2022-01-11,2022-01-11,1983-05-01,4.1852563
17,2022-01-11,2022-01-11,1983-06-01,4.3619048
18,2022-01-11,2022-01-11,1983-07-01,4.4527867
19,2022-01-11,2022-01-11,1983-08-01,4.5600865
20,2022-01-11,2022-01-11,1983-09-01,4.6437242
21,2022-01-11,2022-01-11,1983-10-01,4.5333088
22,2022-01-11,2022-01-11,1983-11-01,4.6111113
23,2022-01-11,2022-01-11,1983-12-01,4.6290545
24,2022-01-11,2022-01-11,1984-01-01,4.5983699
25,2022-01-11,2022-01-11,1984-02-01,4.5857659
26,2022-01-11,2022-01-11,1984-03-01,4.7111995
27,2022-01-11,2022-01-11,1984-04-01,4.8006745
28,2022-01-11,2022-01-11,1984-05-01,4.9107957
29,2022-01-11,2022-01-11,1984-06-01,5.1489609
30,2022-01-11,2022-01-11,1984-07-01,5.1376495
31,2022-01-11,2022-01-11,1984-08-01,4.9032979
32,2022-01-11,2022-01-11,1984-09-01,4.9180151
33,2022-01-11,2022-01-11,1984-10-01,4.7077972
34,2022-01-11,2022-01-11,1984-11-01,4.5753215
35,2022-01-11,2022-01-11,1984-12-01,4.5964624
36,2022-01-11,2022-01-11,1985-01-01,4.6651328
37,2022-01-11,2022-01-11,1985-02-01,4.6157904
38,2022-01-11,2022-01-11,1985-03-01,4.7866083
39,2022-01-11,2022-01-11,1985-04-01,4.5828639
40,2022-01-11,2022-01-11,1985-05-01,4.5661078
41,2022-01-11,2022-01-11,1985-06-01,4.2417009
42,2022-01-11,2022-01-11,1985-07-01,4.2240023
43,2022-01-11,2022-01-11,1985-08-01,4.3536227
