,realtime_start,realtime_end,date,value
0,1/12/22,1/12/22,1/1/89,3005
1,1/12/22,1/12/22,1/1/90,3000
2,1/12/22,1/12/22,1/1/91,.
3,1/12/22,1/12/22,1/1/92,.
4,1/12/22,1/12/22,1/1/93,2983
5,1/12/22,1/12/22,1/1/94,.
6,1/12/22,1/12/22,1/1/95,2558
7,1/12/22,1/12/22,1/1/96,.
8,1/12/22,1/12/22,1/1/97,2732
9,1/12/22,1/12/22,1/1/98,2804
10,1/12/22,1/12/22,1/1/99,2246
11,1/12/22,1/12/22,1/1/00,2382
12,1/12/22,1/12/22,1/1/01,2356
13,1/12/22,1/12/22,1/1/02,2391
14,1/12/22,1/12/22,1/1/03,2439
15,1/12/22,1/12/22,1/1/04,2710
16,1/12/22,1/12/22,1/1/05,3122
17,1/12/22,1/12/22,1/1/06,3581
18,1/12/22,1/12/22,1/1/07,3124
19,1/12/22,1/12/22,1/1/08,3380
20,1/12/22,1/12/22,1/1/09,3308
21,1/12/22,1/12/22,1/1/10,3931
22,1/12/22,1/12/22,1/1/11,3445
23,1/12/22,1/12/22,1/1/12,3959
24,1/12/22,1/12/22,1/1/13,3684
25,1/12/22,1/12/22,1/1/14,4073
26,1/12/22,1/12/22,1/1/15,3188
27,1/12/22,1/12/22,1/1/16,3231
28,1/12/22,1/12/22,1/1/17,3311
29,1/12/22,1/12/22,1/1/18,3930
30,1/12/22,1/12/22,1/1/19,2653
31,1/12/22,1/12/22,1/1/20,2956
