Entity ID,entity_subclass_P31,entity_subclass_P31Label,in_gt_data,Country_P17,Country_P17Label,Lon_Lat_P625,Inception_P571
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q337396,Acadia National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-68.216666666 44.35),1919-02-26T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q337396,Acadia National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-68.216666666 44.35),1916-07-08T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q223969,Arches National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-109.567 38.6833),1971-11-12T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q306216,Badlands National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-102.5 43.75),1939-01-25T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q1427197,Big Bend National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-103.25 29.25),1976-01-01T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q1427197,Big Bend National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-103.25 29.25),1942-06-12T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q866080,Biscayne National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-80.18096924 25.50185493),1980-06-28T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q305880,Black Canyon of the Gunnison National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-107.716666666 38.566666666),1933-03-02T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q219562,Bryce Canyon National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-112.168 37.6283),1928-09-15T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q541856,Canyonlands National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-109.76 38.1669),1964-09-12T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q129902,Capitol Reef National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-111.167 38.2),1937-08-02T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q273195,Carlsbad Caverns National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-104.443888888 32.175277777),1930-05-14T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q306193,Channel Islands National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-119.64 33.66),1980-01-01T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q175688,Congaree National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-80.783333333 33.783333333),2003-11-10T00:00:00Z
http://www.wikidata.org/entity/Q34918903,http://www.wikidata.org/entity/Q239304,Crater Lake National Park,1,http://www.wikidata.org/entity/Q30,United States of America,Point(-122.148055555 42.911944444),1902-01-01T00:00:00Z
