,realtime_start,realtime_end,date,value
0,2022-01-12,2022-01-12,1989-01-01,3005
1,2022-01-12,2022-01-12,1990-01-01,.
2,2022-01-12,2022-01-12,1991-01-01,.
3,2022-01-12,2022-01-12,1992-01-01,.
4,2022-01-12,2022-01-12,1993-01-01,2983
5,2022-01-12,2022-01-12,1994-01-01,.
6,2022-01-12,2022-01-12,1995-01-01,2558
7,2022-01-12,2022-01-12,1996-01-01,.
8,2022-01-12,2022-01-12,1997-01-01,2732
9,2022-01-12,2022-01-12,1998-01-01,2804
10,2022-01-12,2022-01-12,1999-01-01,2246
11,2022-01-12,2022-01-12,2000-01-01,2382
12,2022-01-12,2022-01-12,2001-01-01,2356
13,2022-01-12,2022-01-12,2002-01-01,2391
14,2022-01-12,2022-01-12,2003-01-01,2439
15,2022-01-12,2022-01-12,2004-01-01,2710
16,2022-01-12,2022-01-12,2005-01-01,3122
17,2022-01-12,2022-01-12,2006-01-01,3581
18,2022-01-12,2022-01-12,2007-01-01,3124
19,2022-01-12,2022-01-12,2008-01-01,3380
20,2022-01-12,2022-01-12,2009-01-01,3308
21,2022-01-12,2022-01-12,2010-01-01,3931
22,2022-01-12,2022-01-12,2011-01-01,3445
23,2022-01-12,2022-01-12,2012-01-01,3959
24,2022-01-12,2022-01-12,2013-01-01,3684
25,2022-01-12,2022-01-12,2014-01-01,4073
26,2022-01-12,2022-01-12,2015-01-01,3188
27,2022-01-12,2022-01-12,2016-01-01,3231
28,2022-01-12,2022-01-12,2017-01-01,3311
29,2022-01-12,2022-01-12,2018-01-01,3930
30,2022-01-12,2022-01-12,2019-01-01,2653
31,2022-01-12,2022-01-12,2020-01-01,2956
