,realtime_start,realtime_end,date,value
0,2022-01-08,2022-01-08,2010-01-01,13.281081773904127
1,2022-01-08,2022-01-08,2011-01-01,13.158821064394468
2,2022-01-08,2022-01-08,2012-01-01,14.648196469685342
3,2022-01-08,2022-01-08,2013-01-01,11.575801927064276
4,2022-01-08,2022-01-08,2014-01-01,12.314131526104418
5,2022-01-08,2022-01-08,2015-01-01,14.941887983171181
6,2022-01-08,2022-01-08,2016-01-01,16.06605201596257
7,2022-01-08,2022-01-08,2017-01-01,17.431716265796982
8,2022-01-08,2022-01-08,2018-01-01,16.341063623118018
9,2022-01-08,2022-01-08,2019-01-01,19.611607142857142
