School Name,URL,State
University of Alaska,http://alaska.edu,AK
Alaska Christian College,http://alaskacc.edu,AK
National Park Community College,http://npcc.edu,AK
University of Alaska Fairbanks,http://uaf.edu,AK
University of Arkansas - Fort Smith,http://uafs.edu,AK
Alabama A&M University,http://aamu.edu,AL
Athens State University,http://athens.edu,AL
Auburn University,http://auburn.edu,AL
Auburn University at Montgomery,http://aum.edu,AL
Birmingham-Southern College,http://bsc.edu,AL
Calhoun Community College,http://calhoun.edu,AL
Enterprise State Community College,http://escc.edu,AL
Faulkner State Community College,http://faulknerstate.edu,AL
Gadsden State Community College,http://gadsdenstate.edu,AL
Huntingdon College,http://huntingdon.edu,AL
Jacksonville State University,http://jsu.edu,AL
Lurleen B. Wallace Community College,http://lbwcc.edu,AL
University of Montevallo,http://montevallo.edu,AL
Northeast Alabama Community College,http://nacc.edu,AL
Northwest-Shoals Community College,http://nwscc.edu,AL
Oakwood University,http://oakwood.edu,AL
Samford University,http://samford.edu,AL
Southeastern Bible College,http://sebc.edu,AL
University of South Alabama,http://southalabama.edu,AL
Trenholm State Technical College,http://trenholmstate.edu,AL
Troy University,http://troy.edu,AL
Tuskegee University,http://tuskegee.edu,AL
University of Alabama,http://ua.edu,AL
University of Alabama at Birmingham,http://uab.edu,AL
University of Alabama in Huntsville,http://uah.edu,AL
University of North Alabama,http://una.edu,AL
Snead State Community College,http://snead.edu,AL
Arkansas Northeastern College,http://anc.edu,AR
Arkansas State University,http://astate.edu,AR
Arkansas Tech University,http://atu.edu,AR
Central Baptist College,http://cbc.edu,AR
Harding University,http://harding.edu,AR
Hendrix College,http://hendrix.edu,AR
Henderson State University,http://hsu.edu,AR
John Brown University,http://jbu.edu,AR
Lyon College,http://lyon.edu,AR
Mid-South Community College,http://midsouthcc.edu,AR
North Arkansas College,http://northark.edu,AR
Northwest Arkansas Community College,http://nwacc.edu,AR
Northwest Technical Institute,http://nwti.edu,AR
Ouachita Baptist University,http://obu.edu,AR
University of the Ozarks,http://ozarks.edu,AR
Phillips Community College U of A,http://pccua.edu,AR
Pulaski Technical College,http://pulaskitech.edu,AR
Southern Arkansas University Magnolia,http://saumag.edu,AR
Southeast Arkansas College,http://seark.edu,AR
University of Arkansas Community College Batesville,http://uaccb.edu,AR
University of Arkansas at Little Rock,http://ualr.edu,AR
University of Arkansas for Medical Sciences,http://uams.edu,AR
University of Arkansas at Pine Bluff,http://uapb.edu,AR
University of Arkansas,http://uark.edu,AR
University of Central Arkansas,http://uca.edu,AR
Williams Baptist College,http://wbcoll.edu,AR
University of Arizona,http://arizona.edu,AZ
Arizona State University,http://asu.edu,AZ
Arizona Western College,http://azwestern.edu,AZ
Bryan University,http://bryanuniversity.edu,AZ
Central Arizona College,http://centralaz.edu,AZ
Glendale Community College,http://gccaz.edu,AZ
Grand Canyon University,http://gcu.edu,AZ
Maricopa Community Colleges,http://maricopa.edu,AZ
Mesa Community College,http://mesacc.edu,AZ
Northern Arizona University,http://nau.edu,AZ
Northland Pioneer College,http://npc.edu,AZ
University of Phoenix,http://phoenix.edu,AZ
Phoenix College,http://phoenixcollege.edu,AZ
Pima Community College,http://pima.edu,AZ
Prescott College,http://prescott.edu,AZ
Rio Salado College,http://riosalado.edu,AZ
South Mountain Community College,http://southmountaincc.edu,AZ
University of Advancing Technology,http://uat.edu,AZ
Yavapai College,http://yc.edu,AZ
Academy of Arts University,http://academyart.edu,CA
Adance Computing Institute,http://advancedcomputinginstitute.edu,CA
Acupuncture & Integrative Medicine College,http://aimc.edu,CA
Alliant International University,http://alliant.edu,CA
Allied American University,http://allied.edu,CA
Anaheim University,http://anaheim.edu,CA
Angeles College,http://angelescollege.edu,CA
Antioch University Los Angeles,http://antiochla.edu,CA
Argosy University,http://argosy.edu,CA
Art Center College of Design,http://artcenter.edu,CA
The Art Institute,http://artinstitutes.edu,CA
Ashford University,http://ashford.edu,CA
ATI College,http://ati.edu,CA
Antelope Valley College,http://avc.edu,CA
Bakersfield College,http://bakersfieldcollege.edu,CA
Barstow Community College,http://barstow.edu,CA
Berkeley University of California,http://berkeley.edu,CA
Berkeley City College,http://berkeleycitycollege.edu,CA
Brandman University,http://brandman.edu,CA
Butte College,http://butte.edu,CA
Cabrillo College,http://cabrillo.edu,CA
California Institute of the Arts,http://calarts.edu,CA
California Baptist University,http://calbaptist.edu,CA
California Lutheran University,http://callutheran.edu,CA
California Miramar University,http://calmu.edu,CA
California Polytechnic State University,http://calpoly.edu,CA
California State University,http://calstate.edu,CA
California Institute of Technology,http://caltech.edu,CA
Canada College,http://canadacollege.edu,CA
College of the Canyons,http://canyons.edu,CA
California College of the Arts,http://cca.edu,CA
California Community Colleges Chanellor's Office,http://cccco.edu,CA
City College of San Francisco,http://ccsf.edu,CA
Cerritos College,http://cerritos.edu,CA
Cerro Coso Community College,http://cerrocoso.edu,CA
Claremont Graduate University,http://cgu.edu,CA
Chaffey College,http://chaffey.edu,CA
Chapman University,http://chapman.edu,CA
California Institute of Integral Studies,http://ciis.edu,CA
Citrus College,http://citruscollege.edu,CA
The Claremont Colleges,http://claremont.edu,CA
Claremont McKenna College,http://cmc.edu,CA
Copper Mountain College,http://cmccd.edu,CA
Cogswell Polytechnical College,http://cogswell.edu,CA
College of San Mateo,http://collegeofsanmateo.edu,CA
College of the Desert,http://collegeofthedesert.edu,CA
El Camino College Compton Center,http://compton.edu,CA
Contra Costa College,http://contracosta.edu,CA
College of the Sequoias,http://cos.edu,CA
Crafton Hills College,http://craftonhills.edu,CA
California State University Bakersfield,http://csub.edu,CA
California State University Channel Islands,http://csuci.edu,CA
California State University Dominguez Hills,http://csudh.edu,CA
California State University East Bay,http://csueastbay.edu,CA
Fresno State,http://fresnostate.edu,CA
California State University Long Beach,http://csulb.edu,CA
California State University Monterey Bay,http://csumb.edu,CA
California State University Northridge,http://csun.edu,CA
California State Polytechnic University Pomona,http://csupomona.edu,CA
California State University Sacramento,http://csus.edu,CA
California State University San Bernardino,http://csusb.edu,CA
California State University San Marcos,http://csusm.edu,CA
California State University Stanislaus,http://csustan.edu,CA
Cuesta College,http://cuesta.edu,CA
Cuyamaca College,http://cuyamaca.edu,CA
California Western School of Law San Diego,http://cwsl.edu,CA
Cypress College,http://cypresscollege.edu,CA
DeAnza College,http://deanza.edu,CA
San Joaquin Delta College,http://deltacollege.edu,CA
Dominican University of California,http://dominican.edu,CA
Dominican School of Philosophy and Theology,http://dspt.edu,CA
