id,label,full_label,abbreviation,alt_abbreviation
1,District of Columbia,United States District Court for the District of Columbia,D.D.C.,DC
2,District of Maine,United States District Court for the District of Maine,D. Me.,ME
3,District of Massachusetts,United States District Court for the District of Massachusetts,D. Mass.,MA
4,District of New Hampshire,United States District Court for the District of New Hampshire,D.N.H.,NH
5,District of Puerto Rico,United States District Court for the District of Puerto Rico,D.P.R.,PR
6,District of Rhode Island,United States District Court for the District of Rhode Island,D.R.I.,RI
7,District of Connecticut,United States District Court for the District of Connecticut,D. Conn.,CT
8,Eastern District of New York,United States District Court for the Eastern District of New York,E.D.N.Y.,NYE
9,Northern District of New York,United States District Court for the Northern District of New York,N.D.N.Y.,NYN
10,Southern District of New York,United States District Court for the Southern District of New York,S.D.N.Y.,NYS
11,Western District of New York,United States District Court for the Western District of New York,W.D.N.Y.,NYW
12,District of Vermont,United States District Court for the District of Vermont,D. Vt.,VT
13,District of Delaware,United States District Court for the District of Delaware,D. Del.,DE
14,District of New Jersey,United States District Court for the District of New Jersey,D.N.J.,NJ
15,Eastern District of Pennsylvania,United States District Court for the Eastern District of Pennsylvania,E.D. Pa.,PAE
16,Middle District of Pennsylvania,United States District Court for the Middle District of Pennsylvania,M.D. Pa.,PAM
17,Western District of Pennsylvania,United States District Court for the Western District of Pennsylvania,W.D. Pa.,PAW
18,District of Maryland,United States District Court for the District of Maryland,D. Md.,MD
19,Eastern District of North Carolina,United States District Court for the Eastern District of North Carolina,E.D.N.C.,NCE
20,Middle District of North Carolina,United States District Court for the Middle District of North Carolina,M.D.N.C.,NCM
21,Western District of North Carolina,United States District Court for the Western District of North Carolina,W.D.N.C.,NCW
22,District of South Carolina,United States District Court for the District of South Carolina,D.S.C.,SC
23,Eastern District of Virginia,United States District Court for the Eastern District of Virginia,E.D. Va.,VAE
24,Western District of Virginia,United States District Court for the Western District of Virginia,W.D. Va.,VAW
25,Northern District of West Virginia,United States District Court for the Northern District of West Virginia,N.D. W. Va.,WVN
26,Southern District of West Virginia,United States District Court for the Southern District of West Virginia,S.D. W. Va.,WVS
27,Eastern District of Louisiana,United States District Court for the Eastern District of Louisiana,E.D. La.,LAE
28,Middle District of Louisiana,United States District Court for the Middle District of Louisiana,M.D. La.,LAM
29,Western District of Louisiana,United States District Court for the Western District of Louisiana,W.D. La.,LAW
30,Northern District of Mississippi,United States District Court for the Northern District of Mississippi,N.D. Miss.,MSN
31,Southern District of Mississippi,United States District Court for the Southern District of Mississippi,S.D. Miss.,MSS
32,Eastern District of Texas,United States District Court for the Eastern District of Texas,E.D. Tex.,TXE
33,Northern District of Texas,United States District Court for the Northern District of Texas,N.D. Tex.,TXN
34,Southern District of Texas,United States District Court for the Southern District of Texas,S.D. Tex.,TXS
35,Western District of Texas,United States District Court for the Western District of Texas,W.D. Tex.,TXW
36,Eastern District of Kentucky,United States District Court for the Eastern District of Kentucky,E.D. Ky.,KYE
37,Western District of Kentucky,United States District Court for the Western District of Kentucky,W.D. Ky.,KYW
38,Eastern District of Michigan,United States District Court for the Eastern District of Michigan,E.D. Mich.,MIE
39,Western District of Michigan,United States District Court for the Western District of Michigan,W.D. Mich.,MIW
40,Northern District of Ohio,United States District Court for the Northern District of Ohio,N.D. Ohio,OHN
41,Southern District of Ohio,United States District Court for the Southern District of Ohio,S.D. Ohio,OHS
42,Eastern District of Tennessee,United States District Court for the Eastern District of Tennessee,E.D. Tenn.,TNE
43,Middle District of Tennessee,United States District Court for the Middle District of Tennessee,M.D. Tenn.,TNM
44,Western District of Tennessee,United States District Court for the Western District of Tennessee,W.D. Tenn.,TNW
45,Central District of Illinois,United States District Court for the Central District of Illinois,C.D. Ill.,ILC
46,Northern District of Illinois,United States District Court for the Northern District of Illinois,N.D. Ill.,ILN
47,Southern District of Illinois,United States District Court for the Southern District of Illinois,S.D. Ill.,ILS
48,Northern District of Indiana,United States District Court for the Northern District of Indiana,N.D. Ind.,INN
49,Southern District of Indiana,United States District Court for the Southern District of Indiana,S.D. Ind.,INS
